dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000033,3.350000,0.003333,0.333333,16.666667,833.333333,6.283091
0.020000,0.011984,3.350015,0.015285,0.597559,13.211306,-172.768032,0.002470
0.020000,0.036896,3.350139,0.040197,1.245608,32.402424,959.555916,0.007483
0.020000,0.071236,3.350511,0.074538,1.717090,23.574089,-441.416767,0.014125
0.020000,0.108809,3.351173,0.112117,1.878937,8.092363,-774.086314,0.021043
0.020000,0.146495,3.352091,0.149815,1.884902,0.298270,-389.704636,0.027620
0.020000,0.184294,3.353255,0.187632,1.890822,0.296001,-0.113455,0.033858
0.020000,0.222202,3.354652,0.225566,1.896701,0.293916,-0.104270,0.039761
0.020000,0.260219,3.356271,0.263616,1.902536,0.291774,-0.107065,0.045330
0.020000,0.298341,3.358102,0.301783,1.908324,0.289383,-0.119575,0.050569
0.020000,0.336569,3.360132,0.340064,1.914073,0.287437,-0.097275,0.055479
0.020000,0.374900,3.362350,0.378460,1.919774,0.285061,-0.118811,0.060063
0.020000,0.413334,3.364744,0.416969,1.925435,0.283082,-0.098952,0.064324
0.020000,0.451870,3.367304,0.455590,1.931058,0.281113,-0.098469,0.068263
0.020000,0.490508,3.370017,0.494322,1.936637,0.278947,-0.108268,0.071884
0.020000,0.529247,3.372872,0.533166,1.942183,0.277342,-0.080246,0.075188
0.020000,0.568086,3.375857,0.572120,1.947695,0.275569,-0.088673,0.078177
0.020000,0.607026,3.378961,0.611183,1.953172,0.273874,-0.084739,0.080852
0.020000,0.646067,3.382172,0.650356,1.958624,0.272564,-0.065503,0.083217
0.020000,0.685208,3.385478,0.689637,1.964048,0.271215,-0.067473,0.085271
0.020000,0.724451,3.388868,0.729026,1.969448,0.270001,-0.060660,0.087017
0.020000,0.763796,3.392330,0.768522,1.974830,0.269104,-0.044870,0.088455
0.020000,0.803243,3.395852,0.808126,1.980195,0.268255,-0.042427,0.089587
0.020000,0.842793,3.399422,0.847837,1.985546,0.267558,-0.034875,0.090413
0.020000,0.882447,3.403028,0.887655,1.990889,0.267132,-0.021272,0.090934
0.020000,0.922206,3.406659,0.927580,1.996225,0.266811,-0.016086,0.091149
0.020000,0.962071,3.410302,0.967611,2.001559,0.266680,-0.006523,0.091060
0.020000,1.002043,3.413945,1.007749,2.006893,0.266737,0.002831,0.090666
0.020000,1.042124,3.417576,1.047993,2.012232,0.266947,0.010516,0.089967
0.020000,1.082314,3.421182,1.088345,2.017580,0.267392,0.022223,0.088963
0.020000,1.122615,3.424751,1.128804,2.022939,0.267945,0.027652,0.087652
0.020000,1.163028,3.428271,1.169370,2.028312,0.268663,0.035931,0.086034
0.020000,1.203555,3.431728,1.210044,2.033705,0.269653,0.049484,0.084108
0.020000,1.244197,3.435110,1.250826,2.039120,0.270701,0.052381,0.081873
0.020000,1.284955,3.438403,1.291718,2.044557,0.271878,0.058867,0.079327
0.020000,1.325831,3.441595,1.332718,2.050025,0.273380,0.075091,0.076468
0.020000,1.366827,3.444671,1.373828,2.055522,0.274851,0.073548,0.073295
0.020000,1.407942,3.447619,1.415049,2.061050,0.276430,0.078960,0.069807
0.020000,1.449179,3.450425,1.456382,2.066619,0.278411,0.099063,0.066000
0.020000,1.490539,3.453074,1.497826,2.072221,0.280142,0.086533,0.061873
0.020000,1.532022,3.455552,1.539384,2.077863,0.282106,0.098188,0.057423
0.020000,1.573630,3.457845,1.581055,2.083551,0.284400,0.114722,0.052649
0.020000,1.615363,3.459939,1.622840,2.089277,0.286252,0.092616,0.047547
0.020000,1.657222,3.461818,1.664741,2.095049,0.288630,0.118879,0.042116
0.020000,1.699207,3.463467,1.706758,2.100864,0.290755,0.106271,0.036352
0.020000,1.741318,3.464871,1.748893,2.106722,0.292876,0.106047,0.030253
0.020000,1.783555,3.466015,1.791145,2.112627,0.295281,0.120210,0.023817
0.020000,1.825917,3.466881,1.833517,2.118569,0.297069,0.089404,0.017042
0.020000,1.868405,3.467455,1.876008,2.124559,0.299507,0.121927,0.009924
0.020000,1.911015,3.467720,1.918619,2.130580,0.301032,0.076260,0.002462
0.020000,1.953748,3.467660,1.961352,2.136642,0.303125,0.104632,6.277839
0.020000,1.996601,3.467257,2.004207,2.142731,0.304435,0.065475,6.269682
0.020000,2.039571,3.466495,2.047184,2.148851,0.306014,0.078992,6.261176
0.020000,2.082656,3.465357,2.090284,2.154988,0.306876,0.043060,6.252319
0.020000,2.125852,3.463825,2.133507,2.161145,0.307837,0.048067,6.243111
0.020000,2.169154,3.461883,2.176853,2.167305,0.308011,0.008699,6.233550
0.020000,2.212559,3.459512,2.220322,2.173470,0.308210,0.009941,6.223637
0.020000,2.256060,3.456696,2.263915,2.179619,0.307470,-0.036969,6.213372
0.020000,2.299652,3.453416,2.307630,2.185753,0.306713,-0.037886,6.202757
0.020000,2.343328,3.449656,2.351467,2.191851,0.304896,-0.090818,6.191793
0.020000,2.387079,3.445398,2.395425,2.197908,0.302842,-0.102725,6.180484
0.020000,2.430898,3.440624,2.439503,2.203905,0.299859,-0.149154,6.168831
0.020000,2.474775,3.435319,2.483699,2.209831,0.296284,-0.178734,6.156840
0.020000,2.518700,3.429466,2.528013,2.215668,0.291875,-0.220431,6.144515
0.020000,2.562662,3.423048,2.572441,2.221402,0.286683,-0.259619,6.131863
0.020000,2.606649,3.416049,2.616981,2.227013,0.280546,-0.306863,6.118890
